band1,band2,band3,class
212,97,116,0
193,82,104,0
174,90,104,0
156,82,104,0
143,82,104,0
137,82,93,0
149,75,104,0
162,90,93,0
168,82,104,0
181,82,104,0
181,90,104,0
181,82,104,0
181,90,104,0
181,82,104,0
181,82,104,0
181,97,116,0
168,97,116,0
156,97,93,0
149,82,104,0
149,82,93,0
143,82,93,0
143,75,93,0
149,82,81,0
143,75,104,0
156,82,93,0
187,97,104,0
206,120,127,0
218,120,116,0
224,112,116,0
212,112,127,0
206,105,127,0
206,120,127,0
218,135,127,0
237,143,139,0
237,135,139,0
224,120,127,0
206,105,116,0
187,112,127,0
174,97,104,0
156,82,104,0
156,82,104,0
162,82,104,0
168,105,104,0
168,90,104,0
156,97,93,0
156,97,93,0
156,82,104,0
156,97,127,0
156,82,104,0
143,90,93,0
137,82,104,0
131,75,104,0
131,90,93,0
131,90,104,0
131,105,104,0
156,127,127,0
174,150,151,0
193,150,174,0
212,180,186,0
218,180,186,0
231,173,174,0
212,158,162,0
199,120,139,0
193,97,127,0
187,105,127,0
168,97,116,0
156,82,104,0
156,90,104,0
156,90,104,0
156,97,116,0
162,90,104,0
156,75,93,0
156,82,81,0
168,82,104,0
187,105,116,0
206,135,127,0
212,150,162,0
206,135,174,0
206,90,116,0
206,97,116,0
206,90,104,0
199,90,104,0
206,105,104,0
212,90,104,0
218,105,116,0
218,105,127,0
212,105,127,0
212,105,116,0
212,82,116,0
212,97,104,0
218,105,116,0
206,105,127,0
199,105,116,0
199,97,127,0
199,112,127,0
193,120,139,0
187,112,139,0
193,105,116,0
193,82,104,0
199,97,116,0
218,105,116,0
218,120,127,0
224,143,139,0
224,127,162,0
212,120,139,0
206,105,116,0
193,105,116,0
193,112,116,0
193,112,116,0
199,143,151,0
224,97,116,0
206,82,104,0
193,97,104,0
174,82,104,0
149,82,104,0
156,82,104,0
168,82,104,0
181,90,104,0
181,75,104,0
193,82,104,0
206,90,104,0
218,90,104,0
224,97,116,0
224,90,104,0
224,97,116,0
218,97,116,0
206,97,116,0
199,97,116,0
193,82,104,0
181,90,104,0
162,82,104,0
162,82,93,0
174,90,93,0
181,82,104,0
187,90,104,0
212,97,116,0
224,112,127,0
231,120,116,0
231,120,127,0
224,112,139,0
212,112,127,0
218,120,127,0
231,135,127,0
231,127,127,0
218,120,139,0
199,105,127,0
181,105,116,0
174,105,116,0
174,97,104,0
168,105,104,0
174,97,104,0
156,90,104,0
156,97,104,0
162,82,104,0
156,90,93,0
162,82,104,0
156,82,104,0
156,90,116,0
156,82,104,0
143,90,93,0
137,90,104,0
143,82,104,0
149,90,93,0
156,97,93,0
168,127,127,0
187,165,174,0
187,173,186,0
193,150,174,0
199,150,151,0
199,143,151,0
199,143,139,0
181,135,127,0
181,105,116,0
181,82,104,0
174,97,116,0
162,82,104,0
143,82,93,0
143,90,93,0
156,75,93,0
162,90,93,0
168,82,104,0
174,75,104,0
181,82,93,0
187,82,104,0
193,97,104,0
193,112,116,0
193,120,127,0
199,105,127,0
199,90,104,0
199,97,104,0
199,90,104,0
199,97,116,0
199,90,116,0
206,82,104,0
206,105,116,0
206,97,116,0
206,97,116,0
206,97,116,0
206,82,116,0
206,105,116,0
212,105,116,0
206,105,116,0
199,105,116,0
199,105,116,0
193,120,116,0
193,112,127,0
187,105,127,0
187,97,116,0
193,82,116,0
212,105,116,0
231,97,116,0
224,127,127,0
231,143,151,0
231,135,162,0
218,127,162,0
206,105,139,0
193,105,127,0
181,97,116,0
174,97,116,0
174,120,127,0
243,97,116,0
218,90,116,0
206,97,104,0
199,82,104,0
193,90,104,0
206,82,104,0
212,82,104,0
218,90,104,0
224,75,104,0
231,90,116,0
231,90,116,0
237,90,116,0
243,105,116,0
243,97,116,0
243,112,127,0
243,105,116,0
224,97,116,0
224,97,116,0
212,82,116,0
199,97,116,0
193,90,116,0
199,90,104,0
212,97,104,0
212,97,104,0
218,105,127,0
224,97,116,0
231,105,127,0
237,127,127,0
237,120,127,0
224,112,139,0
218,112,127,0
224,120,127,0
231,120,127,0
218,105,116,0
199,105,127,0
181,97,104,0
174,97,104,0
181,105,104,0
187,97,104,0
